organization_name,department_name,department_name_harmonised
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,AWI – Alfred Wegener Institute,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,AWI),Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute Helmholtz Center for Polar and Marine Research,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute Helmholtz Zentrum für Polar‐ und Meeresforschung,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute for Polar and Marine Research,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute for Polar and Marine Research Bremerhaven Germany,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute for Polar and Marine Research Bremerhaven and Universität Bremen,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute for Polar and Marine Science,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute – Helmholz Centre for Polar and Marine Research (AWI),Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegener Institute,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegener Institute for Polar and Marine Research,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegener-Institut,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar-und Meeresforschung,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegener-Institut für Polar- und Meeresforschung,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegener-Institut für Polar- und Meeresforschung; Bremerhaven Germany,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegener-Institute,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegener-Institute (AWI),Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
