"organization_name","department_name","faculties"
"Griffith University","Centre for Sustainability Management","sowi"
"Peoples' Friendship University of Russia","Institute for Hematopathology","med"
"Princeton University","Carnegie Mellon University - Center for Integrated Study of the Human Dimensions of Global Change","sowi"
"University of Greifswald, Institute of Slavic Studies","Slavic Studies","phil"
"Universität Hamburg","German Climate Computing Center and University of Hamburg","mint"
"Princeton University","Institute for Peace Research and Security Policy at the University of Hamburg","sowi"
"City University of Hong Kong","Institute for Coastal Research","mint"
"Institute of Law","University of California","jura"
"Universität Bremen","Assistant Professor Kathmandu University School of Education Nepal","phil"
"Forschungszentrum Energiespeichertechnologien","Energy Research Center of Lower Saxony (EFZN)","tech"
"Hellenic American University","HUN-REN Hungarian Research Centre for Linguistics","phil"
"Universität Hamburg","Centre for Interdisciplinary Addiction Research of Hamburg University","med"
"Sichuan University","Energy Research Center of Lower Saxony (EFZN)","tech"
"Universität Hamburg","University of Hamburg - Department for Japanese Studies","phil"
"Pacific International Center for High Technology Research","International Pacific Research Center","sowi"
"University of Saskatchewan","Institute of Space and Atmospheric Studies","mint"
"Norwegian University of Science and Technology","Center for Advanced Studies in Arid Zones (CEAZA)","mint"
"University of Leicester","School of Geography","sowi"
"University of Nairobi","Department of African and Ethiopian Studies","phil"
"University of Central Asia","Grassland and Fodder Science","agrar"
"Universität Hamburg","Carnegie Mellon University - Center for Integrated Study of the Human Dimensions of Global Change","sowi"
"Universität Hamburg","Centre for Bioinformatics","med"
"Universität Hamburg","Centre for Biomolecular Interactions","mint"
"German Climate Computing Centre","German Climate Computing Center and University of Hamburg","mint"
"Universität Hamburg","Centre for Wood Science","mint"
"Universität Hamburg","Institute of Wastewater Management and Water Protection","agrar"
"HafenCity University Hamburg","Resource Efficiency in Architecture and Planning","tech"
"HafenCity University Hamburg","Resource Efficiency in Architecture and Planning (REAP)","tech"
"Universität Hamburg","Neuronal Patterning and Connectivity","mint"
"Universität Hamburg","Hamburg School of Food Science","agrar"
"Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application","School of Geography","sowi"
"Hamburg University of Music and Drama","Institute of Musicology University of Hamburg Neue Rabenstr. 13","phil"
"Universität Hamburg","Endokrinologie und Diabetologie","med"
"Russian New University","Institute for Hematopathology","med"
"Universität Hamburg","Institute for Human Resource Management","sowi"
"Universität Hamburg","Institute for Human Resource Management and Organizations","sowi"
"University of Central Asia","Grassland and Fodder Sciences","agrar"
"Nanjing Normal University","School of Geography","sowi"
"Institute of Bioinformatics","University of Greifswald -","tech"
"Huazhong University of Science and Technology",NA,"tech"
"Hokkaido University","COE Neo-Science of Natural History","mint"
"Hamburg University of Music and Drama","Institut of Systematic Musicology","phil"
"Foundation for Research and Technology Hellas","CSTACC","tech"
"Zentrum für Molekulare Neurobiologie Hamburg",NA,"mint"
"Flensburg University of Applied Sciences","University of Applied Sciences","tech"
"Universität Hamburg","Institute for Peace Research and Security Policy at the University of Hamburg","sowi"
"Universität Hamburg","Center for Buddhist Studies","rewi"
"Universität Hamburg","Centre for Interdisciplinary Addiction Research (CIAR)","med"
"Universität Hamburg","Research Institute for Linguistics","phil"
"Wuhan University","Kiel Centre for Globalization","sowi"
"Hamburg University of Music and Drama","Institute of Systematic Musicology","phil"
"Leuphana Universität Lüneburg","Institute of Sustainability Governance (INSUGO)","sowi"
"HAW Hamburg","Hochschule für Angewandte Wissenschaften","tech"
"Universität Hamburg","Korean Studies Department","phil"
"CAU Kiel","Biochemisches Institut","mint"
"HAW Hamburg","Key Laboratory of Geographic Information Science of Ministry of Education","sowi"
"Senckenberg am Meer","Leibniz-Institut für Ostseeforschung Warnemünde","mint"
"Universität Hamburg","Inst. of Musicology","phil"
"German Institute for Global and Area Studies","Adjunct Professor at the University of Hamburg","phil"
"East China Normal University","Center for Geopolitical and Strategic Studies and Institute for Global Innovation and Development","sowi"
"University of Göttingen","Chair Group of Forest and Nature Conservation Policy","mint"
"Institute of Law","Erasmus University Rotterdam (EUR) - Rotterdam","jura"
"University of Electronic Science and Technology of China",NA,"tech"
"University of Oslo","Meteorology and Oceanography Section","mint"
"Hungarian Research Centre for Linguistics","Research Institute for Linguistics","phil"
"Europa-Universität Flensburg","Strategic and International Management","sowi"
"Nanyang Technological University","Asian School of the Environment","mint"
"Macquarie University","Discipline of Geography and Planning","sowi"
"University College London","Annu Aggarwal and Susanne A. Schneider contributed equally and are shared first authors for this article.","mint"
"Institute for Peace Research and Security Policy","at the University of Hamburg","sowi"
"Universität Rostock","Faculty of Law and Interdisciplinary Faculty","jura"
"HEC Montréal","Department of Management","sowi"
"CAU Kiel","Institute for Security Policy at","sowi"
"Leuphana Universität Lüneburg","Centre for Sustainability Management#R##N#Leuphana University of Lueneburg","sowi"
"Universität Hamburg","Elasmo-Lab","mint"
"Universität Hamburg","Department of African and Ethiopian Studies","phil"
"DLR Institut für Vernetzte Energiesysteme","Energiesystemanalyse","mint"
"Universität Hamburg","University of Hamburg - Institute of Law and Economics","sowi"
"Universität Hamburg","Department of Strategic Management","sowi"
"Universität Hamburg","Gene Center","med"
"Universität Hamburg","Research Unit for Evolutionary Immunogenomics","med"
"University of South Australia","Centre for Accounting","sowi"
"Universität Hamburg","Oncology","med"
"South China University of Technology","Division of Microrobotics","tech"
"Public Works Research Institute","Aqua Restoration Research Center","med"
"Zhejiang University","Department of Land Management","sowi"
"Leuphana Universität Lüneburg","Junior Professor of Public Law and European Law","jura"
"Carl von Ossietzky Universität Oldenburg","Department of Sport and Motion","sowi"
"Universität Hamburg","Auslandseinsätze der Bundeswehr. Sozialwissenschaftliche Analysen","sowi"
"Heinrich Heine University Düsseldorf","Centre for Biomolecular Interactions","med"
"China Meteorological Administration","Laboratory for Climate Studies","mint"
"CAU Kiel","Center for Archaeological Science","phil"
"Universität Bremen","Faculty of Law","jura"
"Universität Hamburg","Erasmus University Rotterdam (EUR) - Rotterdam Institute of Law and Economics","jura"
"Guangzhou University","School of Public Administration & Institute of Rural Revitalization","sowi"
"University of Oxford","School of Geography and Environment","sowi"
"University of Regensburg","Institute of Psychology","med"
"The American College of Greece","Research Institute for Linguistics","phil"
"Universität Hamburg","Neonatal Screening Laboratory","mint"
"Universität Hamburg","Metabolic Laboratory","mint"
"Social Insurance Institution","Department of Civil and Environmental Engineering and Institute of Transportation Studies University of California","tech"
"Universität Hamburg","HUN-REN Hungarian Research Centre for Linguistics Budapest Hungary","phil"
"Universität Hamburg","HUN-REN Hungarian Research Centre for Linguistics","phil"
"Universität Hamburg","Department of Austronesian Studies","phil"
"Lower Saxony Institute for Historical Coastal Research",NA,"mint"
"Universität Hamburg","Department of History","phil"
"HafenCity University Hamburg","REAP research group (Resource Efficiency in Architecture and Planning)","sowi"
"Otto-von-Guericke University Magdeburg","Center for Behavioral Brain Sciences (CBBS)","med"
"Delft University of Technology","Delta Futures Lab","tech"
"Universität Rostock","Helmholtzzentrum","mint"
"Universität Rostock","Urology","med"
"Universität Hamburg","Institute of Environmental Technology and Energy Economics (IUE)","sowi"
"Universität Hamburg","Center for Natural History","mint"
"Institute for Peace Research and Security Policy","IFSH","sowi"
"Universität Hamburg","Center for the Study of Manuscript Cultures","phil"
"Sichuan University","Center for Archaeological Science","phil"
"University of Oslo","Institut für Geowissenschaften and SFB 574","mint"
"Royal Netherlands Institute for Sea Research","NIOZ-","mint"
"CAU Kiel","Department of Gynecology and Obstetrics","med"
"Universität Hamburg","General Psychology","med"
"Institute for Applied Systems Technology Bremen","Department C-Business in Enterprise Networks","sowi"
"Joetsu University of Education","Department of Geoscience","med"
"University of Calgary","Department of Biological Sciences","mint"
"Universität Hamburg","Laboratory for Artificial Intelligence","tech"
"Hokkaido University","Integrated Ocean Drilling Program Management International","mint"
"CAU Kiel","Department of Prosthodontics","med"
"CAU Kiel","Department of Horticulture","mint"
"CAU Kiel","Department of Zoophysiology","mint"
"CAU Kiel","Department of Oceanology","mint"
"CAU Kiel","Department of Anthropology","sowi"
"Universität Hamburg","Organische Chemie","mint"
"Institute for Peace Research and Security Policy","Büro der Generalsekretärin","sowi"
"HAW Hamburg","Media Technology","tech"
"CAU Kiel","Biochemical  Institute","mint"
"Hanover University of Music Drama and Media","Hanover University of Music","phil"
"University of Vienna","Department for Geodynamics and Sedimentology","mint"
"Europa-Universität Flensburg","Department of Energy and Environmental","tech"
"Hamburg University of Technology","Institute of Environmental Technology and Energy Economics (IUE)","tech"
"CAU Kiel","Department of Ecosystem Management","mint"
"Universität Hamburg","Institute of Musicology University of Hamburg Neue Rabenstr. 13","phil"
"Universität Bremen","Center of Studies of Air quality and Climate Change","mint"
"Fraunhofer Institute for Silicon Technology","ISIT Branch Lab Kiel","tech"
"Universität Hamburg","Department for Cultural Studies","phil"
"Lanzhou University","Center for Arid Environment and Paleoclimate Research","mint"
"Center for Free-Electron Laser Science",NA,"tech"
"Universität Bremen","Research Centre for East European Studies at the","phil"
"Carl von Ossietzky Universität Oldenburg","Department of Informatics Carl von Ossietzky University Oldenburg","tech"
"Universität Hamburg","University of Hamburg / Hungarian Research Centre for Linguistics","phil"
"CAU Kiel","Department of Genetics","med"
"International Institute for Applied Systems Analysis",NA,"mint"
"Carnegie Mellon University","Center for Integrated Study of the Human Dimensions of Global Change","sowi"
"Universität Hamburg","Asian School of the Environment","mint"
"CAU Kiel","History Department","phil"
"for Materials and Coastal Research""",NA,"mint"
"National Taiwan University","Biodiversity Research Centre","mint"
"University of Madras","Department of Applied Geology","mint"
"Leuphana Universität Lüneburg","Institute of Corporate Development","sowi"
"Dharma Drum Institute of Liberal Arts","Center for Buddhist Studies","rewi"
"Center for Integrated Protein Science Munich","Gene Center","med"
"Universität Hamburg","Department","mint"
"National Changhua University of Education","Department of Geography","sowi"
"Carl von Ossietzky Universität Oldenburg","Computer Science","tech"
"Universität Hamburg","Center of Natural History","mint"
"Sichuan University","Clausthal University of Technology (TUC)","tech"
"CAU Kiel","Department of Operative Dentistry and Periodontology","med"
"Hochschule für Angewandte Wissenschaften Hamburg Fakultät Technik und Informatik","Maschinenbau und Produktion","tech"
"Forest Industry Research Institute","CIFOR Jl. CIFOR","tech"
"Industrial Technology Research Institute","Green Energy and Environment Research Laboratories","mint"
