parent,child,llm_confirmed
Constructor University Bremen,Constructor University Bremen gGmbH,TRUE
Universitätsklinikum Hamburg-Eppendorf,Universitätsklinikum Hamburg-Eppendorf Zentrum für Experimentelle Medizin,FALSE
Universitätsklinikum Schleswig-Holstein,Universitätsklinikum Schleswig Holstein Campus Lübeck,NA
University of Vienna,Medical University of Vienna,NA
Friedrich-Loeffler Institut,Friedrich-Loeffler-Institut Bundesforschungsinstitut für Tiergesundheit,NA
Hochschule für Angewandte Wissenschaften Hamburg,Hochschule für Angewandte Wissenschaften Hamburg Fakultät Life Sciences,NA
Hamburg University,Hamburg University of Technology,NA
German Center for Infection Research,German Center for Infection Research (DZIF),NA
Leibniz Institute for the Analysis of Biodiversity Change,Leibniz Institute for the Analysis of Biodiversity Change -  Museum Koenig Bonn,NA
Institute for Economic Research,Ifo Institute for Economic Research,NA
Institute of Geosciences,Federal Institute for Geosciences and Natural Resources,NA
Veterinary Research Institute,Indian Veterinary Research Institute,NA
World Health Organization,World Health Organization - Pakistan,NA
University Medical Center,University Medical Center Hamburg-Eppendorf,NA
Jacobs University Bremen,Jacobs University Bremen gGmbH,NA
Institute of Atmospheric Physics,Leibniz Institute of Atmospheric Physics at the University of Rostock,NA
Christian Medical College,"Christian Medical College, Vellore",NA
Waste,Waste Management (United States),NA
University Medical Center,University Medical Center of the Johannes Gutenberg University Mainz,NA
University of Oldenburg,Helmholtz Institute for Functional Marine Biodiversity at the University Oldenburg,NA
University Medical Center,University Medical Center Göttingen,FALSE
Chongqing Medical University,The Affiliated Yongchuan Hospital of Chongqing Medical University,TRUE
Europa Universität Flensburg,Europa-Universität Flensburg Institut für Sprache Literatur und Medien,TRUE
Institute for Economic Research,German Institute for Economic Research,FALSE
Oklahoma State University,Oklahoma State University Oklahoma City,TRUE
University of Hong Kong,City University of Hong Kong,FALSE
Martini-Klinik,"Martini-Klinik Prostate Cancer Center and Department of Urology, University Hospital Hamburg-Eppendorf, Hamburg",TRUE
University Hospital Hamburg-Eppendorf,"Martini-Klinik Prostate Cancer Center and Department of Urology, University Hospital Hamburg-Eppendorf, Hamburg",TRUE
University of Chittagong,International Islamic University Chittagong,FALSE
Academia Sinica,"Research Center for Environmental Changes, Academia Sinica",TRUE
Academia Sinica,"Biodiversity Research Center, Academia Sinica",TRUE
Academia Sinica,"Institute of Cellular and Organismic Biology, Academia Sinica",TRUE
University Medical Center,University Medical Center Freiburg,FALSE
Institute of Atmospheric Physics,A.M. Obukhov Institute of Atmospheric Physics,FALSE
Universität Hamburg,HafenCity Universität Hamburg,NA
Nanjing University,Nanjing University of Information Science and Technology,NA
European Molecular Biology Laboratory,European Molecular Biology Laboratory (EMBL),NA
Russian Academy of Sciences,Komarov Botanical Institute of the Russian Academy of Sciences,NA
Universität Hamburg,Technische Universität Hamburg-Harburg,NA
UNESCO,UNESCO Institute for Lifelong Learning,NA
Nanjing University,Nanjing University of Chinese Medicine,FALSE
"University of Maryland, Baltimore","University of Maryland, Baltimore County",TRUE
University of Pennsylvania,California University of Pennsylvania,FALSE
University of Finance and Economics,Shanghai University of Finance and Economics,NA
Chang Gung Memorial Hospital,Linkou Chang Gung Memorial Hospital,NA
Soochow University,First Affiliated Hospital of Soochow University,NA
Zhengzhou University,First Affiliated Hospital of Zhengzhou University,NA
Dalian Medical University,First Affiliated Hospital of Dalian Medical University,NA
Chengdu University,Chengdu University of Technology,NA
MSH Medical School Hamburg,MSH Medical School Hamburg – University of Applied Sciences and Medical University,NA
Universitätsklinikum Schleswig-Holstein,Universitätsklinikum Schleswig-Holstein Campus Lübeck,NA
Universiti Sains Malaysia,Hospital Universiti Sains Malaysia,NA
