short,long,llm_confirmed
Universität Bremen,Universität Rostock,FALSE
Universität Rostock,University of Zurich,FALSE
National Taiwan University,National Dairy Research Institute,FALSE
National Taiwan University,National Taiwan Ocean University,FALSE
Universität Bremen,Universität Hamburg,FALSE
Universität Rostock,Universität Hamburg,FALSE
Universität Bremen,Universität Greifswald,FALSE
Universität Rostock,Universität Greifswald,FALSE
Universität Hamburg,Universität Greifswald,FALSE
Max Planck Institute for Meteorology,Max Planck Institute for Demographic Research,FALSE
Spring Techno (Germany),Springer Nature (Germany),TRUE
Universität Bremen,Universitätsklinikum Hamburg-Eppendorf,FALSE
Universität Hamburg,Universitätsklinikum Hamburg-Eppendorf,FALSE
Universität Bremen,Universitätsmedizin Greifswald,FALSE
Universität Hamburg,Universitätsmedizin Greifswald,FALSE
Universität Greifswald,Universitätsmedizin Greifswald,TRUE
Universitätsmedizin Greifswald,Universitätsklinikum Hamburg-Eppendorf,NA
Cleveland Clinic,Cleveland Eye Clinic,NA
Universidade Federal do Amapá,Universidade Federal do Rio Grande do Norte,NA
University of Zurich,University of Stuttgart,NA
Universität Bremen,Universität Lübeck,FALSE
Universität Lübeck,Universität Rostock,FALSE
Universität Lübeck,Universität Hamburg,FALSE
Universität Lübeck,Universität Greifswald,FALSE
Universitätsklinikum Hamburg-Eppendorf,Universitätsklinikum Schleswig-Holstein,FALSE
National Taiwan University,Australian National University,FALSE
University of Zurich,University of South Australia,FALSE
University of Stuttgart,University of South Australia,FALSE
Max Planck Institute for Meteorology,Max Planck Institute for Plasma Physics - Greifswald,FALSE
Max Planck Institute for Demographic Research,Max Planck Institute for Plasma Physics - Greifswald,FALSE
Universität Bremen,University of Alberta,FALSE
University of Zurich,University of Alberta,FALSE
University of Alberta,Universität Greifswald,FALSE
University of Alberta,University of Stuttgart,FALSE
Universität Lübeck,University of Alberta,FALSE
University of Alberta,University of South Australia,FALSE
University of Zurich,University of Cologne,FALSE
University of Cologne,University of Stuttgart,FALSE
University of Cologne,University of South Australia,FALSE
University of Alberta,University of Cologne,FALSE
Max Planck Institute for Meteorology,Max Planck Institute for Marine Microbiology,FALSE
Max Planck Institute for Marine Microbiology,Max Planck Institute for Demographic Research,FALSE
Max Planck Institute for Marine Microbiology,Max Planck Institute for Plasma Physics - Greifswald,FALSE
Beijing YouAn Hospital,Beijing Hua Xin Hospital,FALSE
Institute of Political Science,Institute of Socio-Political Research,TRUE
Universidade do Vale do Rio dos Sinos,Universidade Federal do Rio Grande do Norte,NA
Sylhet Agricultural University,Bangladesh Agricultural University,NA
Institute of Political Science,Institute of Marine Biotechnology,NA
Institute of Marine Biotechnology,Institute of Socio-Political Research,NA
University of Zurich,"University of Maryland, Baltimore",NA
University of South Australia,"University of Maryland, Baltimore",NA
University of Alberta,"University of Maryland, Baltimore",NA
University of Cologne,"University of Maryland, Baltimore",NA
University of Alberta,"University of Maryland, College Park",NA
University of Cologne,"University of Maryland, College Park",NA
"University of Maryland, Baltimore","University of Maryland, College Park",NA
Institute of Political Science,Institute for Interdisciplinary Medicine,NA
University of Zurich,University of Baghdad,NA
Universität Hamburg,University of Baghdad,NA
University of Baghdad,University of Stuttgart,NA
University of Baghdad,University of South Australia,FALSE
University of Alberta,University of Baghdad,FALSE
University of Cologne,University of Baghdad,FALSE
University of Baghdad,"University of Maryland, Baltimore",FALSE
University of Baghdad,"University of Maryland, College Park",FALSE
University of Zurich,University Hospital Ulm,FALSE
Universität Hamburg,University Hospital Ulm,FALSE
University of Stuttgart,University Hospital Ulm,FALSE
University Hospital Ulm,University of South Australia,FALSE
University of Alberta,University Hospital Ulm,FALSE
University Hospital Ulm,"University of Maryland, Baltimore",FALSE
University of Baghdad,University Hospital Ulm,FALSE
University of Zurich,University of Newcastle Australia,FALSE
University of Stuttgart,University of Newcastle Australia,FALSE
University of South Australia,University of Newcastle Australia,TRUE
University of Alberta,University of Newcastle Australia,NA
University of Cologne,University of Newcastle Australia,NA
"University of Maryland, Baltimore",University of Newcastle Australia,NA
University of Newcastle Australia,"University of Maryland, College Park",NA
University Hospital Ulm,University of Newcastle Australia,NA
Universität Hamburg,University Hospital Heidelberg,FALSE
University of Alberta,University Hospital Heidelberg,FALSE
University of Baghdad,University Hospital Heidelberg,FALSE
University Hospital Ulm,University Hospital Heidelberg,FALSE
Leibniz Institute for the Analysis of Biodiversity Change,Leibniz Institute for Prevention Research and Epidemiology - BIPS,FALSE
Universität Rostock,University of Konstanz,FALSE
University of Zurich,University of Konstanz,FALSE
University of Konstanz,University of Stuttgart,FALSE
University of Konstanz,University of South Australia,FALSE
University of Alberta,University of Konstanz,FALSE
University of Cologne,University of Konstanz,FALSE
University of Konstanz,"University of Maryland, Baltimore",FALSE
University of Baghdad,University of Konstanz,FALSE
University of Konstanz,University Hospital Ulm,FALSE
University of Konstanz,University of Newcastle Australia,FALSE
Meiji University,Leipzig University,FALSE
Universität Bremen,University of Tübingen,FALSE
University of Zurich,University of Tübingen,FALSE
University of Tübingen,University of Stuttgart,FALSE
Universität Lübeck,University of Tübingen,FALSE
University of Tübingen,University of South Australia,FALSE
University of Alberta,University of Tübingen,FALSE
University of Cologne,University of Tübingen,FALSE
University of Tübingen,"University of Maryland, Baltimore",FALSE
University of Baghdad,University of Tübingen,FALSE
University of Tübingen,University Hospital Ulm,FALSE
University of Tübingen,University of Newcastle Australia,FALSE
University of Tübingen,University Hospital Heidelberg,FALSE
University of Konstanz,University of Tübingen,FALSE
Institute of Law,Institute of Political Science,FALSE
Institute of Law,Institute of Socio-Political Research,FALSE
