orcid,faculties,note
0000-0001-5278-8379,agrar,hand-classified from publications
0000-0001-5891-7290,agrar,hand-classified from publications
0000-0001-6090-2856,agrar,hand-classified from publications
0000-0001-6223-2841,mint,hand-classified from publications
0000-0001-6388-3777,mint,hand-classified from publications
0000-0001-8563-0324,tech,hand-classified from publications
0000-0002-2636-3438,mint,hand-classified from publications
0000-0002-4983-5645,agrar,hand-classified from publications
0000-0002-6701-4429,tech,hand-classified from publications
0000-0002-7564-9600,agrar,hand-classified from publications
0000-0002-8003-1864,agrar,hand-classified from publications
0000-0003-0372-3960,mint,hand-classified from publications
0000-0003-1482-9998,mint,hand-classified from publications
0000-0003-1791-7272,agrar,hand-classified from publications
0000-0003-2161-9155,agrar,hand-classified from publications
0000-0003-2460-0396,mint,hand-classified from publications
0000-0003-3334-8591,agrar,hand-classified from publications
0000-0003-3842-4653,mint,hand-classified from publications
0000-0003-4123-3305,mint,hand-classified from publications
0000-0003-4447-2002,mint,hand-classified from publications
0000-0003-4459-1124,mint,hand-classified from publications
0009-0006-2947-7939,agrar,hand-classified from publications
no_orcid_1224,jura,hand-classified from publications
no_orcid_1300,mint,hand-classified from publications
no_orcid_1328,agrar,hand-classified from publications
no_orcid_1329,agrar,hand-classified from publications
no_orcid_1330,agrar,hand-classified from publications
no_orcid_1342,mint,hand-classified from publications
no_orcid_1698,phil,hand-classified from publications
no_orcid_1699,sowi,hand-classified from publications
no_orcid_1886,agrar,hand-classified from publications
no_orcid_2340,mint,hand-classified from publications
no_orcid_2636,mint,hand-classified from publications
no_orcid_3037,agrar,hand-classified from publications
no_orcid_3337,med,hand-classified from publications
no_orcid_3603,mint,hand-classified from publications
no_orcid_4039,mint,hand-classified from publications
no_orcid_4571,mint,hand-classified from publications
no_orcid_4995,agrar,hand-classified from publications
no_orcid_6962,mint,hand-classified from publications
no_orcid_7616,agrar,hand-classified from publications
no_orcid_7769,mint,hand-classified from publications
no_orcid_8893,sowi,hand-classified from publications
0000-0002-7446-5981,jura,hand-classified from publications
0000-0002-8379-7160,jura,hand-classified from publications
0009-0009-8171-1640,jura,hand-classified from publications
no_orcid_1391,jura,hand-classified from publications
no_orcid_2306,jura,hand-classified from publications
no_orcid_2485,jura,hand-classified from publications
no_orcid_2844,jura,hand-classified from publications
no_orcid_2887,jura,hand-classified from publications
no_orcid_3273,jura,hand-classified from publications
no_orcid_3733,jura,hand-classified from publications
no_orcid_4183,jura,hand-classified from publications
no_orcid_4185,jura,hand-classified from publications
0000-0001-5209-6647,med,hand-classified from publications
0000-0001-6375-7295,med,hand-classified from publications
0000-0001-7091-1051,med,hand-classified from publications
0000-0001-7494-0845,med,hand-classified from publications
0000-0001-8071-0827,med,hand-classified from publications
0000-0001-9414-4555,med,hand-classified from publications
0000-0002-0406-5958,med,hand-classified from publications
0000-0002-0436-4480,med,hand-classified from publications
0000-0002-1574-0138,med,hand-classified from publications
0000-0002-1927-3514,med,hand-classified from publications
0000-0002-2554-9150,med,hand-classified from publications
0000-0002-2891-3448,med,hand-classified from publications
0000-0002-2935-0296,med,hand-classified from publications
0000-0002-3884-1943,med,hand-classified from publications
0000-0002-4603-9504,med,hand-classified from publications
0000-0002-4644-1448,med,hand-classified from publications
0000-0002-5298-5919,med,hand-classified from publications
0000-0002-5461-3289,mint,hand-classified from publications
0000-0002-6373-5923,med,hand-classified from publications
0000-0002-6666-5430,med,hand-classified from publications
0000-0002-6911-9558,med,hand-classified from publications
0000-0002-7503-5131,med,hand-classified from publications
0000-0002-7584-8044,med,hand-classified from publications
0000-0002-7677-7057,med,hand-classified from publications
0000-0002-7897-8864,med,hand-classified from publications
0000-0002-8338-8025,med,hand-classified from publications
0000-0002-8348-5087,med,hand-classified from publications
0000-0002-8574-5831,med,hand-classified from publications
0000-0002-9328-5732,med,hand-classified from publications
0000-0002-9575-1119,med,hand-classified from publications
0000-0002-9775-804X,med,hand-classified from publications
0000-0003-0016-2985,med,hand-classified from publications
0000-0003-0783-3905,sowi,hand-classified from publications
0000-0003-1739-749X,med,hand-classified from publications
0000-0003-2784-3297,med,hand-classified from publications
0000-0003-3364-3400,sowi,hand-classified from publications
0000-0003-4415-0273,med,hand-classified from publications
0000-0003-4906-7620,med,hand-classified from publications
0009-0002-4416-6339,med,hand-classified from publications
0009-0009-2423-8914,med,hand-classified from publications
no_orcid_10180,med,hand-classified from publications
no_orcid_10214,mint,hand-classified from publications
no_orcid_10789,med,hand-classified from publications
no_orcid_10791,med,hand-classified from publications
no_orcid_10798,med,hand-classified from publications
no_orcid_10806,med,hand-classified from publications
no_orcid_1143,med,hand-classified from publications
no_orcid_1149,agrar,hand-classified from publications
no_orcid_123,med,hand-classified from publications
no_orcid_1269,med,hand-classified from publications
no_orcid_1284,mint,hand-classified from publications
no_orcid_1318,agrar,hand-classified from publications
no_orcid_1423,med,hand-classified from publications
no_orcid_1452,phil,hand-classified from publications
no_orcid_1475,sowi,hand-classified from publications
no_orcid_1688,med,hand-classified from publications
no_orcid_2805,med,hand-classified from publications
no_orcid_2948,med,hand-classified from publications
no_orcid_300,agrar,hand-classified from publications
no_orcid_3500,mint,hand-classified from publications
no_orcid_4139,mint,hand-classified from publications
no_orcid_4140,sowi,hand-classified from publications
no_orcid_4151,med,hand-classified from publications
no_orcid_4152,mint,hand-classified from publications
