organization_name,organization_name_harmonised
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred Wegener Institute
Alfred-Wegener-Institute,Alfred Wegener Institute
Bernhard-Nocht-Institut für Tropenmedizin,Bernhard Nocht Institute for Tropical Medicine
Bremen International Graduate School of Social Sciences (BIGSSS),Bremen International Graduate School of Social Sciences
CAU - Christian-Albrechts-Universität zu Kiel = Christian-Albrechts University of Kiel = Université Christian-Albrechts de Kiel (Christian-Albrechts-Platz 4,CAU Kiel
Carl Von Ossietzky Universität,Carl von Ossietzky Universität Oldenburg
Carl von Ossietzky University Oldenburg,Carl von Ossietzky Universität Oldenburg
Carl von Ossietzky University of Oldenburg,Carl von Ossietzky Universität Oldenburg
Carl-von-Ossietzky-Universitat Oldenburg,Carl von Ossietzky Universität Oldenburg
Carl-von-Ossietzky-Universität Oldenburg,Carl von Ossietzky Universität Oldenburg
"Center for Ocean and Society (CeOS), University of Kiel","Center for Ocean and Society, Kiel University"
China University of Geosciences (Beijing),China University of Geosciences
Christian Albrecht University in Kiel,CAU Kiel
Christian Albrechts Universitat zu Kiel,CAU Kiel
Christian Albrechts University,CAU Kiel
Christian Albrechts University (CAU),CAU Kiel
Christian Albrechts University at Kiel,CAU Kiel
Christian Albrechts University in Kiel,CAU Kiel
Christian Albrechts University of Kiel,CAU Kiel
Christian Albrechts Universität zu Kiel,CAU Kiel
Christian-Albrechts Univ.,CAU Kiel
Christian-Albrechts University of Kiel,CAU Kiel
Christian-Albrechts Universität Kiel,CAU Kiel
Christian-Albrechts Universität zu Kiel,CAU Kiel
Christian-Albrechts-University,CAU Kiel
Christian-Albrechts-University Kiel,CAU Kiel
Christian-Albrechts-University of Kiel,CAU Kiel
Christian-Albrechts-University zu Kiel,CAU Kiel
Christian-Albrechts-University -Kiel,CAU Kiel
Christian-Albrechts-University–Kiel,CAU Kiel
Christian-Albrechts-UniversitÃ¤t zu Kiel,CAU Kiel
Christian-Albrechts-Universität,CAU Kiel
Christian-Albrechts-Universität zu Kiel,CAU Kiel
Christian-Albrechts-Universität zu Kiel (CAU),CAU Kiel
Christian-Albrechts-Universität zu Kiel (CAU) / Kiel University,CAU Kiel
Christian-Albrechts-Universität zu Kiel / Kiel University,CAU Kiel
Christian-Albrechts-Universität zu Kiel Germany Kiel,CAU Kiel
Christian-Albrechts-Universität zu Kiel Walther-Schücking-Institut für Internationales Recht,CAU Kiel
Christian‐Albrechts Universität zu Kiel,CAU Kiel
Christian‐Albrechts‐ Universität Kiel Germany,CAU Kiel
Christian‐Albrechts‐Universität zu Kiel (CAU),CAU Kiel
Christian–Albrechts Universität zu Kiel,CAU Kiel
Chris­ti­an-Al­brechts-Uni­ver­si­tät zu Kiel,CAU Kiel
Clausthal University,Technische Universität Clausthal
Clausthal University of Technology,Technische Universität Clausthal
Curtin University Sarawak,Curtin University
Deutsches Elektronen-Synchrotron DESY,Deutsches Elektronen-Synchrotron
Deutsches Zentrum für Luft- und Raumfahrt eV,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR)
